指标名称,中国:GDP:不变价:当季同比
2001Q1,9.50 
2001Q2,8.60 
2001Q3,8.00 
2001Q4,7.50 
2002Q1,8.90 
2002Q2,8.80 
2002Q3,9.60 
2002Q4,9.10 
2003Q1,11.10 
2003Q2,9.10 
2003Q3,10.00 
2003Q4,10.00 
2004Q1,10.60 
2004Q2,11.60 
2004Q3,9.80 
2004Q4,8.80 
2005Q1,11.10 
2005Q2,11.10 
2005Q3,10.80 
2005Q4,12.40 
2006Q1,12.50 
2006Q2,13.70 
2006Q3,12.20 
2006Q4,12.50 
2007Q1,13.80 
2007Q2,15.00 
2007Q3,14.30 
2007Q4,13.90 
2008Q1,11.50 
2008Q2,10.90 
2008Q3,9.50 
2008Q4,7.10 
2009Q1,6.40 
2009Q2,8.20 
2009Q3,10.60 
2009Q4,11.90 
2010Q1,12.20 
2010Q2,10.80 
2010Q3,9.90 
2010Q4,9.90 
2011Q1,10.20 
2011Q2,10.00 
2011Q3,9.40 
2011Q4,8.80 
2012Q1,8.10 
2012Q2,7.70 
2012Q3,7.50 
2012Q4,8.10 
2013Q1,7.90 
2013Q2,7.60 
2013Q3,7.90 
2013Q4,7.70 
2014Q1,7.50 
2014Q2,7.60 
2014Q3,7.20 
2014Q4,7.30 
2015Q1,7.10 
2015Q2,7.10 
2015Q3,7.00 
2015Q4,6.90 
2016Q1,6.90 
2016Q2,6.80 
2016Q3,6.80 
2016Q4,6.90 
2017Q1,7.00 
2017Q2,7.00 
2017Q3,6.90 
2017Q4,6.80 
2018Q1,6.90 
2018Q2,6.90 
2018Q3,6.70 
2018Q4,6.50 
2019Q1,6.30 
2019Q2,6.00 
2019Q3,5.90 
2019Q4,5.80 
2020Q1,-6.90 
2020Q2,3.10 
2020Q3,4.80 
2020Q4,6.40 
2021Q1,18.70 
2021Q2,8.30 
2021Q3,5.20 
2021Q4,4.30 
2022Q1,4.80 
2022Q2,0.40 
2022Q3,3.90 
2022Q4,2.90 
2023Q1,4.50 
2023Q2,6.30 
2023Q3,4.90 
2023Q4,5.20 
2024Q1,5.30
2024Q2,4.70
2024Q3,4.60
2024Q4,5.40
2025Q1,5.40
